Season,DayNum,T1_TeamID,T1_Score,T2_TeamID,T2_Score,T1_T2_oc,NumOT,T1_OffRating,T2_OffRating,T1_Tempo,T2_Tempo,T1_fgEff,T2_fgEff,T1_ftRate,T2_ftRate,T1_wab,T2_wab,T1_Threepg,T2_Threepg,T1_FTPG,T2_FTPG,T1_PDiffPG,T2_PDiffPG,T1_OffRank,T2_OffRank,T1_DefRank,T2_DefRank,T2_T1_oc,PointDiff,offRankDiff,defRankDiff,T1_seed,T2_seed,Seed_Diff
2008,134,1291,69,1164,60,N,0,99.3,92.4,66.1,62.9,49.7845,43.4534,38.6853,36.6067,-9.5,-13.0,6.0,4.088235294117647,14.625,13.882352941176471,2.5625,-6.970588235294118,233.0,321.0,106.0,230.0,,9,-88.0,-124.0,16,16,0
2008,136,1181,71,1125,70,N,0,116.3,109.7,71.5,68.6,53.6211,53.2154,40.8633,33.7986,8.9,-3.5,9.28125,10.46875,17.34375,14.46875,14.8125,5.03125,13.0,71.0,7.0,216.0,,1,-58.0,-209.0,2,15,-13
2008,136,1242,85,1340,61,N,0,120.9,108.6,66.8,66.3,56.5912,54.8673,36.3515,37.2271,9.9,-3.4,6.787878787878788,9.033333333333333,15.484848484848484,13.8,19.515151515151516,5.766666666666667,2.0,87.0,1.0,161.0,,24,-85.0,-160.0,1,16,-15
2008,136,1243,80,1425,67,N,0,114.2,110.5,69.7,65.2,49.5248,53.3333,37.3687,38.655,1.0,3.6,6.633333333333334,5.5625,16.333333333333332,13.5625,9.8,5.875,34.0,59.0,40.0,13.0,,13,-25.0,27.0,11,6,5
2008,136,1266,74,1246,66,N,0,115.3,107.8,66.6,62.4,50.5929,52.7458,37.5494,41.1239,3.8,-1.1,7.15625,5.8,15.75,15.333333333333334,11.59375,3.2666666666666666,20.0,104.0,21.0,67.0,,8,-84.0,-46.0,6,11,-5
2008,136,1277,72,1396,61,N,0,115.8,112.8,63.3,63.6,52.5291,54.1279,33.4345,35.2652,5.1,-1.7,4.96969696969697,7.878787878787879,13.666666666666666,14.06060606060606,9.303030303030303,4.03030303030303,17.0,41.0,33.0,102.0,,11,-24.0,-69.0,5,12,-7
2008,136,1323,68,1206,50,N,0,114.6,110.7,69.5,61.6,52.1588,52.2778,34.0943,39.7638,4.4,-3.6,8.451612903225806,6.121212121212121,15.709677419354838,14.787878787878787,10.096774193548388,7.575757575757576,26.0,58.0,43.0,117.0,,18,-32.0,-74.0,5,12,-7
2008,136,1338,82,1331,63,N,0,116.5,104.7,63.9,63.6,50.7645,49.8557,36.1204,40.6232,5.3,-0.9,6.142857142857143,6.612903225806452,13.82857142857143,14.838709677419354,8.942857142857143,7.387096774193548,10.0,153.0,54.0,31.0,,19,-143.0,23.0,4,13,-9
2008,136,1345,90,1124,79,N,0,110.5,115.7,66.9,70.1,48.9211,51.9301,37.1053,35.8894,3.8,1.5,7.375,8.433333333333334,14.65625,16.5,7.53125,6.266666666666667,60.0,19.0,16.0,113.0,,11,41.0,-97.0,6,11,-5
2008,136,1390,77,1165,53,N,0,113.6,110.1,63.4,67.9,49.8257,55.3702,39.5916,33.7558,6.7,-1.2,5.393939393939394,7.923076923076923,15.575757575757576,14.461538461538462,10.06060606060606,7.615384615384615,36.0,69.0,10.0,206.0,,24,-33.0,-196.0,3,14,-11
